draw,location,age_group_start,age_group_end,sex,year_start,year_end,cause,measure,unit,parameter,value
0,China,0,1,female,2020,2021,hrHPV,remission,per person-year,continuous,0.96025979157438
0,China,1,2,female,2020,2021,hrHPV,remission,per person-year,continuous,0.9508167387279689
0,China,2,3,female,2020,2021,hrHPV,remission,per person-year,continuous,0.9413736858815578
0,China,3,4,female,2020,2021,hrHPV,remission,per person-year,continuous,0.9319306330351467
0,China,4,5,female,2020,2021,hrHPV,remission,per person-year,continuous,0.9224875801887354
0,China,5,6,female,2020,2021,hrHPV,remission,per person-year,continuous,0.9130445273423243
0,China,6,7,female,2020,2021,hrHPV,remission,per person-year,continuous,0.9036014744959132
0,China,7,8,female,2020,2021,hrHPV,remission,per person-year,continuous,0.8941584216495021
0,China,8,9,female,2020,2021,hrHPV,remission,per person-year,continuous,0.884715368803091
0,China,9,10,female,2020,2021,hrHPV,remission,per person-year,continuous,0.8752723159566799
0,China,10,11,female,2020,2021,hrHPV,remission,per person-year,continuous,0.8658292631102688
0,China,11,12,female,2020,2021,hrHPV,remission,per person-year,continuous,0.8563862102638575
0,China,12,13,female,2020,2021,hrHPV,remission,per person-year,continuous,0.8469431574174464
0,China,13,14,female,2020,2021,hrHPV,remission,per person-year,continuous,0.8375001045710353
0,China,14,15,female,2020,2021,hrHPV,remission,per person-year,continuous,0.8280570517246242
0,China,15,16,female,2020,2021,hrHPV,remission,per person-year,continuous,0.8186139988782131
0,China,16,17,female,2020,2021,hrHPV,remission,per person-year,continuous,0.809170946031802
0,China,17,18,female,2020,2021,hrHPV,remission,per person-year,continuous,0.7997278931853908
0,China,18,19,female,2020,2021,hrHPV,remission,per person-year,continuous,0.7902848403389797
0,China,19,20,female,2020,2021,hrHPV,remission,per person-year,continuous,0.7808417874925685
0,China,20,21,female,2020,2021,hrHPV,remission,per person-year,continuous,0.7713987346461574
0,China,21,22,female,2020,2021,hrHPV,remission,per person-year,continuous,0.7619556817997463
0,China,22,23,female,2020,2021,hrHPV,remission,per person-year,continuous,0.7525126289533351
0,China,23,24,female,2020,2021,hrHPV,remission,per person-year,continuous,0.743069576106924
0,China,24,25,female,2020,2021,hrHPV,remission,per person-year,continuous,0.7336265232605128
0,China,25,26,female,2020,2021,hrHPV,remission,per person-year,continuous,0.7241834704141017
0,China,26,27,female,2020,2021,hrHPV,remission,per person-year,continuous,0.7147404175676906
0,China,27,28,female,2020,2021,hrHPV,remission,per person-year,continuous,0.7052973647212795
0,China,28,29,female,2020,2021,hrHPV,remission,per person-year,continuous,0.6958543118748683
0,China,29,30,female,2020,2021,hrHPV,remission,per person-year,continuous,0.6864112590284572
0,China,30,31,female,2020,2021,hrHPV,remission,per person-year,continuous,0.6769682061820461
0,China,31,32,female,2020,2021,hrHPV,remission,per person-year,continuous,0.667525153335635
0,China,32,33,female,2020,2021,hrHPV,remission,per person-year,continuous,0.6580821004892239
0,China,33,34,female,2020,2021,hrHPV,remission,per person-year,continuous,0.6486390476428128
0,China,34,35,female,2020,2021,hrHPV,remission,per person-year,continuous,0.6391959947964015
0,China,35,36,female,2020,2021,hrHPV,remission,per person-year,continuous,0.6297529419499904
0,China,36,37,female,2020,2021,hrHPV,remission,per person-year,continuous,0.6203098891035793
0,China,37,38,female,2020,2021,hrHPV,remission,per person-year,continuous,0.6108668362571682
0,China,38,39,female,2020,2021,hrHPV,remission,per person-year,continuous,0.601423783410757
0,China,39,40,female,2020,2021,hrHPV,remission,per person-year,continuous,0.5919807305643459
0,China,40,41,female,2020,2021,hrHPV,remission,per person-year,continuous,0.5825376777179347
0,China,41,42,female,2020,2021,hrHPV,remission,per person-year,continuous,0.5730946248715236
0,China,42,43,female,2020,2021,hrHPV,remission,per person-year,continuous,0.5636515720251125
0,China,43,44,female,2020,2021,hrHPV,remission,per person-year,continuous,0.5542085191787014
0,China,44,45,female,2020,2021,hrHPV,remission,per person-year,continuous,0.5447654663322903
0,China,45,46,female,2020,2021,hrHPV,remission,per person-year,continuous,0.5353224134858792
0,China,46,47,female,2020,2021,hrHPV,remission,per person-year,continuous,0.525879360639468
0,China,47,48,female,2020,2021,hrHPV,remission,per person-year,continuous,0.5164363077930569
0,China,48,49,female,2020,2021,hrHPV,remission,per person-year,continuous,0.5069932549466457
0,China,49,50,female,2020,2021,hrHPV,remission,per person-year,continuous,0.4975502021002346
0,China,50,51,female,2020,2021,hrHPV,remission,per person-year,continuous,0.4881071492538235
0,China,51,52,female,2020,2021,hrHPV,remission,per person-year,continuous,0.47866409640741236
0,China,52,53,female,2020,2021,hrHPV,remission,per person-year,continuous,0.4692210435610012
0,China,53,54,female,2020,2021,hrHPV,remission,per person-year,continuous,0.45977799071459013
0,China,54,55,female,2020,2021,hrHPV,remission,per person-year,continuous,0.4503349378681789
0,China,55,56,female,2020,2021,hrHPV,remission,per person-year,continuous,0.4408918850217678
0,China,56,57,female,2020,2021,hrHPV,remission,per person-year,continuous,0.4314488321753567
0,China,57,58,female,2020,2021,hrHPV,remission,per person-year,continuous,0.42200577932894556
0,China,58,59,female,2020,2021,hrHPV,remission,per person-year,continuous,0.41256272648253445
0,China,59,60,female,2020,2021,hrHPV,remission,per person-year,continuous,0.40311967363612333
0,China,60,61,female,2020,2021,hrHPV,remission,per person-year,continuous,0.3936766207897122
0,China,61,62,female,2020,2021,hrHPV,remission,per person-year,continuous,0.384233567943301
0,China,62,63,female,2020,2021,hrHPV,remission,per person-year,continuous,0.3747905150968899
0,China,63,64,female,2020,2021,hrHPV,remission,per person-year,continuous,0.36534746225047876
0,China,64,65,female,2020,2021,hrHPV,remission,per person-year,continuous,0.35590440940406765
0,China,65,66,female,2020,2021,hrHPV,remission,per person-year,continuous,0.34646135655765653
0,China,66,67,female,2020,2021,hrHPV,remission,per person-year,continuous,0.3370183037112454
0,China,67,68,female,2020,2021,hrHPV,remission,per person-year,continuous,0.3275752508648343
0,China,68,69,female,2020,2021,hrHPV,remission,per person-year,continuous,0.3181321980184231
0,China,69,70,female,2020,2021,hrHPV,remission,per person-year,continuous,0.30868914517201196
0,China,70,71,female,2020,2021,hrHPV,remission,per person-year,continuous,0.29924609232560084
0,China,71,72,female,2020,2021,hrHPV,remission,per person-year,continuous,0.28980303947918973
0,China,72,73,female,2020,2021,hrHPV,remission,per person-year,continuous,0.2803599866327786
0,China,73,74,female,2020,2021,hrHPV,remission,per person-year,continuous,0.2709169337863675
0,China,74,75,female,2020,2021,hrHPV,remission,per person-year,continuous,0.2614738809399564
0,China,75,76,female,2020,2021,hrHPV,remission,per person-year,continuous,0.25203082809354516
0,China,76,77,female,2020,2021,hrHPV,remission,per person-year,continuous,0.24258777524713404
0,China,77,78,female,2020,2021,hrHPV,remission,per person-year,continuous,0.23314472240072293
0,China,78,79,female,2020,2021,hrHPV,remission,per person-year,continuous,0.2237016695543118
0,China,79,80,female,2020,2021,hrHPV,remission,per person-year,continuous,0.2142586167079007
0,China,80,81,female,2020,2021,hrHPV,remission,per person-year,continuous,0.20481556386148958
0,China,81,82,female,2020,2021,hrHPV,remission,per person-year,continuous,0.19537251101507846
0,China,82,83,female,2020,2021,hrHPV,remission,per person-year,continuous,0.18592945816866724
0,China,83,84,female,2020,2021,hrHPV,remission,per person-year,continuous,0.17648640532225612
0,China,84,85,female,2020,2021,hrHPV,remission,per person-year,continuous,0.167043352475845
0,China,85,86,female,2020,2021,hrHPV,remission,per person-year,continuous,0.1576002996294339
0,China,86,87,female,2020,2021,hrHPV,remission,per person-year,continuous,0.14815724678302278
0,China,87,88,female,2020,2021,hrHPV,remission,per person-year,continuous,0.13871419393661166
0,China,88,89,female,2020,2021,hrHPV,remission,per person-year,continuous,0.12927114109020055
0,China,89,90,female,2020,2021,hrHPV,remission,per person-year,continuous,0.11982808824378932
0,China,90,91,female,2020,2021,hrHPV,remission,per person-year,continuous,0.1103850353973782
0,China,91,92,female,2020,2021,hrHPV,remission,per person-year,continuous,0.10094198255096709
0,China,92,93,female,2020,2021,hrHPV,remission,per person-year,continuous,0.09149892970455598
0,China,93,94,female,2020,2021,hrHPV,remission,per person-year,continuous,0.08205587685814486
0,China,94,95,female,2020,2021,hrHPV,remission,per person-year,continuous,0.07261282401173375
0,China,95,96,female,2020,2021,hrHPV,remission,per person-year,continuous,0.06316977116532263
0,China,96,97,female,2020,2021,hrHPV,remission,per person-year,continuous,0.053726718318911404
0,China,97,98,female,2020,2021,hrHPV,remission,per person-year,continuous,0.04428366547250029
0,China,98,99,female,2020,2021,hrHPV,remission,per person-year,continuous,0.034840612626089174
0,China,99,100,female,2020,2021,hrHPV,remission,per person-year,continuous,0.02539755977967806
